what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903596341
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903601685
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903601991
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276903602819
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276903617832
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903619130
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903622345
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903626380
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276903627166
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903627859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903633063
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903638990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276903641677
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903642384
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276903644295
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903645112
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903696143
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1276903704054
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276903713252
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903716394
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903739051
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903740668
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903823550
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276903825998
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903827936
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903828008
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276903828016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903829340
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903834034
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276903835890
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276903835967
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276903839438
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903840676
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903840683
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903840792
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903841526
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276903844999
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903845921
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903846202
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903846389
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903846741
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903847011
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903847452
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903851275
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903857353
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276903859181
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276903860553
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903863869
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276903866789
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903908644
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903914314
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903922481
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903923644
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276903924786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276903925357
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276903928750
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276903933343
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276903935498
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276903941962
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276903942965
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903943409
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903943687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276903943950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903945661
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903949744
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276903952074
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904002437
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904003879
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904003879
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276904005149
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904005149
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276904007357
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904010073
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904012961
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904020070
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904023604
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904024225
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904024325
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904025318
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904032795
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904035566
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276904039288
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904039623
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904039845
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276904040397
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276904040744
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904041270
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904041270
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276904041856
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276904042183
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904042966
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904087224
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904092622
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904104698
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904112909
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904151140
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904171095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904186690
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904209834
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276904214759
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904221346
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904223052
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276904223949
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276904230029
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904234940
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904234991
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904241692
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904248046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904806023
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276904813458
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904817756
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276904898386
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276904900385
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276904900698
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904903594
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276904906666
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904907168
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904907354
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276904908813
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276904908813
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276904909649
