what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906105708
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906106165
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276906108249
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276906110160
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906110515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906110826
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906111242
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906113677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906114314
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906126011
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906128915
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276906129211
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906130134
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906130628
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906130864
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906206310
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906207862
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1276906207862
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276906218505
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906222056
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906222056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906234623
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906253407
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906254492
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906267662
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906269035
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906319051
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906320651
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906320664
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906320814
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906321921
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906329101
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906335988
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906336128
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906336226
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906339292
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906339993
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906340432
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906341084
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906342240
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906342240
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906342724
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276906344407
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276906345976
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906346683
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906347024
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906348164
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906349049
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906349275
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906350037
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906351276
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906351276
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906352806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906353955
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276906355204
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906357877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276906360139
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906361836
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906362096
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276906362804
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906363182
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906363336
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906364190
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906364785
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906365226
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906365628
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906365980
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276906369118
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906370231
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276906370231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1276906371912
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276906373074
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276906375074
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276906380678
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276906388725
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906401553
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906412532
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906413609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276906414411
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276906416650
