what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872021641
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872024438
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872027782
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872033094
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276872035750
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872036766
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276872045407
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872045563
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276872048797
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276872050282
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276872051110
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872051328
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872057844
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276872058735
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276872061235
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276872061547
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276872061860
activated,view,org.python.pydev,1.5.7.2010050621,"org.python.pydev.navigator.view",1276872062735
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276872065735
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276872065938
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872066125
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276872068922
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276872069578
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872069906
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872077313
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872083438
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872088953
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276872094484
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872094766
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872101484
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276872101891
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872102094
error,log,,,"Unable to resolve module for:L/PE/src/PE/util/number.py",1276872102234
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872104656
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276872105500
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276872109812
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872111625
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276872112859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276872114391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276872114703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872115187
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276872122141
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276872123437
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276872128515
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872129265
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276872131859
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE38.py",1276872133640
