what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781920002
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781920861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781922033
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781922049
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781922127
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781922127
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781922971
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781924143
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781945470
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781960281
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781960344
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781960359
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781961297
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1276781961297
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276781963359
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1276781964734
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276781968656
error,log,,,"Unable to resolve module for:L/PE/src/PE/PE29.py",1276781969078
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276781969093
closed,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276781970000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276781972609
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782098587
error,log,,,"Exception occurred executing command line.",1276782108992
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782109024
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782112305
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782114305
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782124445
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1276782126570
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782130054
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782138944
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1276782139038
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.ui",1276782141835
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.201002161416,"org.eclipse.cdt.debug.mi.core",1276782141897
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276782143756
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1276782145616
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782162833
opened,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276782164740
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276782164990
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782165208
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782165693
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276782172802
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782173677
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782190223
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782197238
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276782200503
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782200769
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782202144
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276782203816
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276782206816
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276782215909
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782224752
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782228330
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1276782231721
activated,editor,org.python.pydev,1.5.7.2010050621,"org.python.pydev.editor.PythonEditor",1276782234127
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276782235252
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782236236
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1276782279499
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782279734
error,log,,,"Unable to resolve module for:L/PE/src/PE/Test.py",1276782283452
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1276782289405
