what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1276899380879
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1276899380879
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1276899380879
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1276899380879
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1276899380879
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1276899380879
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1276899380879
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1276899380879
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1276899380879
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1276899380880
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1276899380880
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1276899380880
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1276899380880
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1276899380880
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1276899380880
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1276899380880
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1276899380880
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1276899380880
started,bundle,com.python.pydev,1.5.7.2010050621,"com.python.pydev",1276899380880
started,bundle,com.python.pydev.analysis,1.5.7.2010050621,"com.python.pydev.analysis",1276899380880
started,bundle,com.python.pydev.codecompletion,1.5.7.2010050621,"com.python.pydev.codecompletion",1276899380880
started,bundle,com.python.pydev.refactoring,1.5.7.2010050621,"com.python.pydev.refactoring",1276899380880
started,bundle,org.python.pydev,1.5.7.2010050621,"org.python.pydev",1276899380880
started,bundle,org.python.pydev.core,1.5.7.2010050621,"org.python.pydev.core",1276899380880
started,bundle,org.python.pydev.debug,1.5.7.2010050621,"org.python.pydev.debug",1276899380880
started,bundle,org.python.pydev.django,1.5.7.2010050621,"org.python.pydev.django",1276899380880
started,bundle,org.python.pydev.jython,1.5.7.2010050621,"org.python.pydev.jython",1276899380880
started,bundle,org.python.pydev.parser,1.5.7.2010050621,"org.python.pydev.parser",1276899380880
started,bundle,org.python.pydev.refactoring,1.5.7.2010050621,"org.python.pydev.refactoring",1276899380880
os,sysinfo,,,"win32",1276899380888
arch,sysinfo,,,"x86",1276899380888
ws,sysinfo,,,"win32",1276899380888
locale,sysinfo,,,"ko_KR",1276899380888
processors,sysinfo,,,"2",1276899380888
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276899380888
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276899380888
java.specification.name,sysinfo,,,"Java Platform API Specification",1276899380888
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276899380888
java.specification.version,sysinfo,,,"1.6",1276899380888
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276899380888
java.version,sysinfo,,,"1.6.0_20",1276899380888
java.vm.info,sysinfo,,,"mixed mode",1276899380888
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1276899380888
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276899380888
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276899380888
java.vm.specification.version,sysinfo,,,"1.0",1276899380888
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276899380888
java.vm.version,sysinfo,,,"16.3-b01",1276899380888
error,log,,,"The interpreter location found does not exist. Name:python3.0.1_E:EndName:Version3.0Executable:E:\\eclipse\\PortablePython_1.1_py3.0.1\\App\\python.exe|E:\\eclipse\\PortablePython_1.1_py3.0.1\\App|E:\\eclipse\\PortablePython_1.1_py3.0.1\\App\\DLLs|E:\\eclipse\\PortablePython_1.1_py3.0.1\\App\\lib|E:\\eclipse\\PortablePython_1.1_py3.0.1\\App\\lib\\plat-win|E:\\eclipse\\PortablePython_1.1_py3.0.1\\App\\lib\\site-packages|E:\\eclipse\\PortablePython_1.1_py3.0.1\\App\\python30.zip@$|Image|OpenGL|__main__|_ast|_bisect|_bytesio|_codecs|_codecs_cn|_codecs_hk|_codecs_iso2022|_codecs_jp|_codecs_kr|_codecs_tw|_collections|_csv|_fileio|_functools|_heapq|_hotshot|_json|_locale|_lsprof|_md5|_multibytecodec|_pickle|_random|_sha|_sha1|_sha256|_sha512|_sre|_stringio|_struct|_subprocess|_symtable|_thread|_warnings|_weakref|_winreg|array|atexit|audioop|binascii|builtins|cPickle|cStringIO|cmath|datetime|email|errno|exceptions|future_builtins|gc|imageop|imp|itertools|marshal|math|mmap|msvcrt|nt|numpy|operator|os|os.path|parser|signal|socket|strop|sys|thread|time|winreg|wx|wxPython|xxsubtype|zipimport|zlib",1276899381411
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1276899381642
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1276899381863
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1276899382969
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1276899383969
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1276899384125
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1276899384433
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1276899387292
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1276899387292
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1276899387532
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1276899388600
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1276899388732
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1276899389269
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1276899389270
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1276899389333
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1276899389383
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1276899389436
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1276899389869
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1276899389924
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1276899390782
started,bundle,org.eclipse.cdt.core,5.1.2.201002161416,"org.eclipse.cdt.core",1276899411739
started,bundle,org.eclipse.cdt.core.tests,5.1.2.201002161416,"org.eclipse.cdt.core.tests",1276899412833
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1276899412857
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1276899412891
started,bundle,org.python.pydev.customizations,1.5.7.2010050621,"org.python.pydev.customizations",1276899412942
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276899413662
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1276899423060
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1276899432401
